date flow_ft3_s po4_mg_L Daily_Load_MTD
11/29/2013 139 0.11486 0.039064483
11/30/2013 112 0.116 0.031788826
12/1/2013 127 0.11445 0.035564605
12/2/2013 141 0.11383 0.039271213
12/3/2013 173 0.11481 0.04859866
12/4/2013 172 0.11441 0.048149403
12/5/2013 201 0.11671 0.057398772
12/6/2013 199 0.11618 0.056569576
12/7/2013 196 0.11555 0.055414637
12/8/2013 165 0.11272 0.045507544
12/9/2013 125 0.11202 0.034261317
12/10/2013 111 0.11292 0.030668485
12/11/2013 89.2 0.11704 0.025544514
12/12/2013 91.5 0.11609 0.025990485
12/13/2013 97.2 0.1144 0.027207633
12/14/2013 89.8 0.11602 0.025492221
12/15/2013 77.3 0.12045 0.022781629
12/16/2013 103 0.11249 0.028349775
12/17/2013 86.2 0.11637 0.024544081
12/18/2013 116 0.11033 0.031314832
12/19/2013 122 0.10964 0.032728593
12/20/2013 126 0.1092 0.033666011
12/21/2013 317 0.12912 0.100150069
12/22/2013 1360 0.40666 1.353221336
12/23/2013 1850 0.59075 2.674077135
12/24/2013 1050 0.30607 0.78633668
12/25/2013 495 0.16279 0.197165713
12/26/2013 327 0.12973 0.10379744
12/27/2013 245 0.11664 0.069921714
12/28/2013 218 0.113 0.060274471
12/29/2013 263 0.11887 0.076493844
12/30/2013 289 0.12269 0.086757191
12/31/2013 205 0.11109 0.055722077
1/1/2014 133 0.10692 0.034794377
1/2/2014 140 0.10673 0.036560575
1/3/2014 95.2 0.11073 0.025792932
1/4/2014 129 0.10668 0.033672176
1/5/2014 141 0.10641 0.036711322
1/6/2014 222 0.11233 0.061016488
1/7/2014 233 0.1136 0.06476386
1/8/2014 202 0.10991 0.054323413
1/9/2014 171 0.10719 0.044848596
1/10/2014 144 0.10603 0.037358525
1/11/2014 154 0.10621 0.040020693
1/12/2014 440 0.14858 0.159960039
1/13/2014 357 0.13277 0.115975604
1/14/2014 537 0.16866 0.221607704
1/15/2014 416 0.14372 0.146288104
1/16/2014 301 0.12309 0.09065416
1/17/2014 214 0.11082 0.058027036
1/18/2014 163 0.1064 0.042435342
1/19/2014 128 0.10596 0.033185655
1/20/2014 127 0.10601 0.032941929
1/21/2014 116 0.10672 0.03029021
1/22/2014 108 0.10761 0.028436416
1/23/2014 106 0.10792 0.027990218
1/24/2014 110 0.10743 0.02891457
1/25/2014 114 0.10704 0.029857224
1/26/2014 106 0.10805 0.028023934
1/27/2014 118 0.1068 0.030835552
1/28/2014 97.2 0.10972 0.026094593
1/29/2014 113 0.10739 0.029692089
1/30/2014 113 0.10748 0.029716973
1/31/2014 98.5 0.10971 0.026441185
2/1/2014 97.9 0.10993 0.026332821
2/2/2014 164 0.10725 0.043036765
2/3/2014 191 0.10937 0.051112845
2/4/2014 178 0.1084 0.047211495
2/5/2014 171 0.10803 0.045200054
2/6/2014 154 0.10729 0.040427644
2/7/2014 138 0.10717 0.036186851
2/8/2014 128 0.10752 0.033674232
2/9/2014 131 0.10758 0.034482703
2/10/2014 113 0.10887 0.030101292
2/11/2014 112 0.10914 0.0299089
2/12/2014 113 0.10921 0.030195298
2/13/2014 115 0.1092 0.030726914
2/14/2014 107 0.11032 0.028882614
2/15/2014 109 0.11025 0.029403807
2/16/2014 108 0.11059 0.029223894
2/17/2014 105 0.11124 0.028579113
2/18/2014 105 0.11146 0.028635634
2/19/2014 107 0.11139 0.029162749
2/20/2014 130 0.10977 0.034916081
2/21/2014 375 0.1413 0.129649815
2/22/2014 842 0.25216 0.519501444
2/23/2014 878 0.26273 0.564420337
2/24/2014 593 0.18948 0.274926461
2/25/2014 403 0.14814 0.146074988
2/26/2014 293 0.1281 0.091836478
2/27/2014 239 0.12008 0.070221007
2/28/2014 189 0.11442 0.05291298
3/1/2014 152 0.11224 0.041743582
3/2/2014 129 0.11251 0.035512341
3/3/2014 127 0.1129 0.035082952
3/4/2014 127 0.11321 0.035179283
3/5/2014 120 0.11394 0.033454607
3/6/2014 114 0.11479 0.032018972
3/7/2014 120 0.1146 0.033648394
3/8/2014 113 0.11558 0.031956529
3/9/2014 110 0.11629 0.031299221
3/10/2014 120 0.11565 0.03395669
3/11/2014 252 0.1262 0.077814112
3/12/2014 469 0.1689 0.19382106
3/13/2014 317 0.13807 0.107092007
3/14/2014 305 0.13632 0.101732072
3/15/2014 642 0.21261 0.333977483
3/16/2014 662 0.21854 0.353987071
3/17/2014 451 0.16763 0.184980845
3/18/2014 298 0.13689 0.099812851
3/19/2014 294 0.13665 0.098300435
3/20/2014 550 0.19281 0.259472129
3/21/2014 447 0.16906 0.184904236
3/22/2014 385 0.15604 0.146992489
3/23/2014 312 0.14192 0.108341955
3/24/2014 231 0.1287 0.07274263
3/25/2014 174 0.12251 0.052157799
3/26/2014 151 0.12162 0.044934552
3/27/2014 131 0.122 0.039104758
3/28/2014 186 0.12497 0.056874447
3/29/2014 295 0.14188 0.102409835
3/30/2014 285 0.14057 0.098024803
3/31/2014 385 0.16133 0.151975764
4/1/2014 426 0.17118 0.178427213
4/2/2014 417 0.16977 0.173218979
4/3/2014 321 0.14968 0.117562085
4/4/2014 279 0.1422 0.097073854
4/5/2014 467 0.18366 0.209860127
4/6/2014 357 0.15897 0.138861503
4/7/2014 268 0.14189 0.093043289
4/8/2014 1000 0.34475 0.8435343
4/9/2014 913 0.31665 0.707373428
4/10/2014 451 0.18337 0.202350042
