FID_USGSCl,STIS_depth,Event_Code,Station_Co,Latitude,Longitude,Collection,Collecti_1,LAKE,SampleDept,RESEARCH_P,Site_Depth,Strat_Unst,Depths_m,NH4_ug_NL,Nox_ug_NL,SRP_ug_PL,TN_ug_NL,TP_ug_PL,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_Layer
72,,USGSOOL6_20180820_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,8/20/2018,20180820,Ontario,,USGS-Cladophora,6,,1.00000000000,25.4,188,,430,6,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,2
73,,USGSOOL6_20180820_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,8/20/2018,20180820,Ontario,,USGS-Cladophora,6,,5.90000000000,50.5,274,,504,6,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,5
96,,USGSOOL6_20181003_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,10/3/2018,20181003,Ontario,,USGS-Cladophora,6,,1.00000000000,31.5,203,,397,7,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,2
97,,USGSOOL6_20181003_D_USGS,USGSOOL6,43.33273000000,-78.77035000000,10/3/2018,20181003,Ontario,,USGS-Cladophora,6,,5.90000000000,29.8,256,,473,6,3283,1.40900000000e+003,"(92,51)",92,51,-4.70000e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.986741,,5.986741,0,,92-51,0.97840000000,16.70188197740,5,4.89200000000,5
6,,USGSOOL10_20180522_D_USGS,USGSOOL10,43.34160000000,-78.77143000000,5/22/2018,20180522,Ontario,,USGS-Cladophora,10,,1.00000000000,24.5,251,,416,5,3351,2.56200000000e+003,"(93,58)",93,58,-1.09821e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.893634,,4.893634,0,,93-58,1.11740000000,13.91264030600,10,11.17400000000,1
7,,USGSOOL10_20180522_D_USGS,USGSOOL10,43.34160000000,-78.77143000000,5/22/2018,20180522,Ontario,,USGS-Cladophora,10,,9.90000000000,54.9,264,,533,5,3351,2.56200000000e+003,"(93,58)",93,58,-1.09821e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.893634,,4.893634,0,,93-58,1.11740000000,13.91264030600,10,11.17400000000,9
26,,USGSOOL10_20180620_D_USGS,USGSOOL10,43.34160000000,-78.77143000000,6/20/2018,20180620,Ontario,,USGS-Cladophora,10,,1.00000000000,11.7,166,,373,BDL,3351,2.56200000000e+003,"(93,58)",93,58,-1.09821e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.893634,,4.893634,0,,93-58,1.11740000000,13.91264030600,10,11.17400000000,1
27,,USGSOOL10_20180620_D_USGS,USGSOOL10,43.34160000000,-78.77143000000,6/20/2018,20180620,Ontario,,USGS-Cladophora,10,,9.90000000000,15.4,162,,352,6,3351,2.56200000000e+003,"(93,58)",93,58,-1.09821e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.893634,,4.893634,0,,93-58,1.11740000000,13.91264030600,10,11.17400000000,9
50,,USGSOOL10_20180724_D_USGS,USGSOOL10,43.34160000000,-78.77143000000,7/24/2018,20180724,Ontario,,USGS-Cladophora,10,,1.00000000000,13.1,132,,348,6,3351,2.56200000000e+003,"(93,58)",93,58,-1.09821e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.893634,,4.893634,0,,93-58,1.11740000000,13.91264030600,10,11.17400000000,1
51,,USGSOOL10_20180724_D_USGS,USGSOOL10,43.34160000000,-78.77143000000,7/24/2018,20180724,Ontario,,USGS-Cladophora,10,,9.90000000000,21.6,160,,378,9,3351,2.56200000000e+003,"(93,58)",93,58,-1.09821e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.893634,,4.893634,0,,93-58,1.11740000000,13.91264030600,10,11.17400000000,9
