FID_GLENDA,Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_,LATITUDE,LONGITUDE,SAMPLING_D,TIME_ZONE,SAMPLE_DEP,DEPTH_CODE,MEDIUM,SAMPLE_TYP,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REM,ANL_CODE_2,ANALYTE_2,TP,UNITS_2,FRACTION_2,METHOD_2,RESULT_R_1,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_layer
79,80,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,182.3,Bottom Minus 10,surface water,INSITU_MEAS,routine field sample,13GO57S70,P-tot,"Phosphorus, Total as P",3.943,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.686,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,10
80,81,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,190.1,Bottom Minus,surface water,INSITU_MEAS,routine field sample,13GO57S71,P-tot,"Phosphorus, Total as P",4.189,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.458,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,10
81,82,2013,August,Summer,Ontario,ON1321-SV,O055MG13,ON55M,189.9,43.443217,-77.4384,8/13/2013,EDT,24,Deep Chlorophyll Layer,surface water,INSITU_MEAS,routine field sample,13GO57S75,P-tot,"Phosphorus, Total as P",1.978,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.308,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,2
91,92,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,0,"Integrated, Summer",surface water,INSITU_MEAS,routine field sample,13GO58I32,P-tot,"Phosphorus, Total as P",2.826,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",6.413,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,1
101,102,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,1,Surface,surface water,INSITU_MEAS,routine field sample,13GO58S21,P-tot,"Phosphorus, Total as P",2.623,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.599,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,1
102,103,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,2.9,Mid Epilimnion,surface water,INSITU_MEAS,routine field sample,13GO58S22,P-tot,"Phosphorus, Total as P",5.519,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",7.314,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,1
103,104,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,70.9,Mid Hypolimnion,surface water,INSITU_MEAS,routine field sample,13GO58S26,P-tot,"Phosphorus, Total as P",2.363,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",2.895,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,7
104,105,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,94.6,Bottom Minus 10,surface water,INSITU_MEAS,routine field sample,13GO58S30,P-tot,"Phosphorus, Total as P",2.427,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.165,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,9
105,106,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,102.5,Bottom Minus,surface water,INSITU_MEAS,routine field sample,13GO58S31,P-tot,"Phosphorus, Total as P",2.432,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",3.186,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,10
106,107,2013,August,Summer,Ontario,ON1321-SV,O012G13,ON12,108,43.5032,-79.336267,8/12/2013,EDT,15.9,Deep Chlorophyll Layer,surface water,INSITU_MEAS,routine field sample,13GO58S35,P-tot,"Phosphorus, Total as P",2.426,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",7.812,ug/l,Total/Bulk,LG204,,1382,9.71E+03,"(59,94)",59,94,-1.08E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.802938,,4.802938,0,,59-94,10.8293,158.2494184,10,108.293,2
