"t","TP_conc","TP_conc_ug_L","mass_settled_kg"
2944,5.61746034461658e-06,5.61746034461658,8462.20382433967
2945,5.61745040325228e-06,5.61745040325228,8462.18884855954
2946,5.61744047527396e-06,5.61744047527396,8462.1738929442
2947,5.6174305606636e-06,5.6174305606636,8462.15895746651
2948,5.61742065940321e-06,5.61742065940321,8462.14404209934
2949,5.61741077147479e-06,5.61741077147479,8462.12914681562
2950,5.61740089686041e-06,5.61740089686041,8462.1142715883
2951,5.61739103554214e-06,5.61739103554214,8462.09941639038
2952,5.61738118750207e-06,5.61738118750207,8462.08458119489
2953,5.61737135272232e-06,5.61737135272232,8462.0697659749
2954,5.61736153118503e-06,5.61736153118503,8462.05497070351
2955,5.61735172287239e-06,5.61735172287239,8462.04019535385
2956,5.61734192776658e-06,5.61734192776658,8462.02543989911
2957,5.61733214584981e-06,5.61733214584981,8462.01070431249
2958,5.61732237710433e-06,5.61732237710433,8461.99598856725
2959,5.61731262151241e-06,5.61731262151241,8461.98129263666
2960,5.61730287905632e-06,5.61730287905633,8461.96661649405
2961,5.6172931497184e-06,5.6172931497184,8461.95196011278
2962,5.61728343348096e-06,5.61728343348096,8461.93732346623
2963,5.61727373032638e-06,5.61727373032638,8461.92270652782
2964,5.61726404023703e-06,5.61726404023703,8461.90810927103
2965,5.61725436319532e-06,5.61725436319532,8461.89353166936
2966,5.61724469918369e-06,5.61724469918369,8461.87897369634
2967,5.61723504818459e-06,5.61723504818459,8461.86443532553
2968,5.6172254101805e-06,5.6172254101805,8461.84991653054
2969,5.61721578515392e-06,5.61721578515392,8461.83541728502
2970,5.61720617308738e-06,5.61720617308738,8461.82093756264
2971,5.61719657396342e-06,5.61719657396342,8461.80647733712
2972,5.61718698776462e-06,5.61718698776462,8461.79203658219
2973,5.61717741447358e-06,5.61717741447358,8461.77761527165
2974,5.61716785407291e-06,5.61716785407291,8461.76321337932
2975,5.61715830654526e-06,5.61715830654526,8461.74883087904
2976,5.6171487718733e-06,5.6171487718733,8461.7344677447
2977,5.61713925003971e-06,5.61713925003971,8461.72012395023
2978,5.61712974102721e-06,5.61712974102721,8461.7057994696
2979,5.61712024481853e-06,5.61712024481853,8461.69149427678
2980,5.61711076139644e-06,5.61711076139644,8461.67720834581
2981,5.61710129074372e-06,5.61710129074372,8461.66294165076
2982,5.61709183284317e-06,5.61709183284317,8461.64869416572
2983,5.61708238767762e-06,5.61708238767762,8461.63446586483
2984,5.61707295522993e-06,5.61707295522993,8461.62025672226
2985,5.61706353548296e-06,5.61706353548296,8461.6060667122
2986,5.61705412841963e-06,5.61705412841963,8461.5918958089
