I 	 	 J 	 lat 	 lon
177 	 	 28 	 43.29149271 	 -77.50920277
178 	 	 28 	 43.29002351 	 -77.49166155
179 	 	 28 	 43.28855168 	 -77.47412257
180 	 	 28 	 43.28707715 	 -77.45658339
181 	 	 28 	 43.28557654 	 -77.43884324
182 	 	 28 	 43.28404884 	 -77.420901
183 	 	 28 	 43.28251925 	 -77.40295978
184 	 	 28 	 43.28098597 	 -77.38501971
185 	 	 28 	 43.27947206 	 -77.36689949
186 	 	 28 	 43.27797741 	 -77.34859912
165 	 	 29 	 43.31014108 	 -77.72014415
166 	 	 29 	 43.30876695 	 -77.70330713
167 	 	 29 	 43.30739126 	 -77.68647098
168 	 	 29 	 43.30601221 	 -77.66963579
169 	 	 29 	 43.30460062 	 -77.65251221
170 	 	 29 	 43.30315633 	 -77.63509907
171 	 	 29 	 43.3017094 	 -77.61768691
172 	 	 29 	 43.30025895 	 -77.60027581
173 	 	 29 	 43.29879469 	 -77.58234118
174 	 	 29 	 43.2973164 	 -77.56388432
175 	 	 29 	 43.29583426 	 -77.54542861
176 	 	 29 	 43.29435003 	 -77.5269727
177 	 	 29 	 43.29287264 	 -77.5089857
178 	 	 29 	 43.29140231 	 -77.49146757
179 	 	 29 	 43.28992928 	 -77.47394922
180 	 	 29 	 43.2884545 	 -77.45643185
181 	 	 29 	 43.28694978 	 -77.4387051
182 	 	 29 	 43.28541677 	 -77.42076647
183 	 	 29 	 43.28388191 	 -77.4028301
184 	 	 29 	 43.28234336 	 -77.38489487
185 	 	 29 	 43.28082308 	 -77.3667734
186 	 	 29 	 43.27932012 	 -77.34846696
187 	 	 29 	 43.27781515 	 -77.33016158
188 	 	 29 	 43.27630728 	 -77.31185729
189 	 	 29 	 43.27489089 	 -77.29366051
190 	 	 29 	 43.27356604 	 -77.27557113
165 	 	 30 	 43.31146548 	 -77.72001737
166 	 	 30 	 43.31010689 	 -77.70318901
167 	 	 30 	 43.30874584 	 -77.68636156
168 	 	 30 	 43.30738234 	 -77.66953501
169 	 	 30 	 43.30597899 	 -77.65241676
170 	 	 30 	 43.30453657 	 -77.63500682
171 	 	 30 	 43.30309067 	 -77.61759916
172 	 	 30 	 43.301643 	 -77.6001912
173 	 	 30 	 43.30017916 	 -77.58224135
174 	 	 30 	 43.29869974 	 -77.56374716
175 	 	 30 	 43.29721648 	 -77.54525535
176 	 	 30 	 43.29573116 	 -77.52676457
177 	 	 30 	 43.2942526 	 -77.50876985
178 	 	 30 	 43.29278107 	 -77.49127235
