I	J	XCent	YCent	CUE	CVE	CUN	CVN	WNDSHLT	lat	lon
179	21	785998	4797822.5	0.99879	0.04925	-0.04925	0.99879	1	43.27890836	-77.47533328
180	21	787440.5	4797720.2	0.99929	0.03771	-0.03771	0.99929	1	43.27744013	-77.45764243
181	21	788894.6	4797617.6	0.99953	0.03076	-0.03076	0.99953	1	43.27596203	-77.43981008
182	21	790360.3	4797514.6	0.9996	0.02841	-0.02841	0.9996	1	43.27447312	-77.42183632
183	21	791826	4797411.5	0.99966	0.02604	-0.02604	0.99966	1	43.27298052	-77.40386367
184	21	793291.8	4797308.5	0.99972	0.02365	-0.02365	0.99972	1	43.27148597	-77.38589081
167	22	768718.5	4799228.6	0.99981	0.01951	-0.01951	0.99981	1	43.29790926	-77.68724042
168	22	770095.5	4799118.5	0.9999	0.01418	-0.01418	0.9999	1	43.29642689	-77.6703469
169	22	771494.7	4799010.8	0.99995	0.01045	-0.01045	0.99995	1	43.29495562	-77.65317996
170	22	772915.9	4798905.7	0.99997	0.00826	-0.00826	0.99997	1	43.2934972	-77.63574198
171	22	774337.2	4798800.6	0.99998	0.00607	-0.00607	0.99998	1	43.29203611	-77.61830376
172	22	775758.4	4798695.4	0.99999	0.00389	-0.00389	0.99999	1	43.29057152	-77.60086784
173	22	777210.9	4798591.5	0.99993	0.01221	-0.01221	0.99993	1	43.28910446	-77.58304712
174	22	778694.6	4798488.8	0.99952	0.03103	-0.03103	0.99952	1	43.28763389	-77.56484294
175	22	780178.3	4798386.1	0.99876	0.04981	-0.04981	0.99876	1	43.28616045	-77.54663982
176	22	781662.1	4798283.4	0.99765	0.06853	-0.06853	0.99765	1	43.2846841	-77.52843653
177	22	783124.3	4798180.9	0.99739	0.07218	-0.07218	0.99739	1	43.28321479	-77.51049994
178	22	784564.9	4798078.5	0.99815	0.06074	-0.06074	0.99815	1	43.28175175	-77.49283007
179	22	786005.6	4797976.1	0.99879	0.04925	-0.04925	0.99879	1	43.28028597	-77.47516
180	22	787446.3	4797873.7	0.99929	0.03771	-0.03771	0.99929	1	43.27881748	-77.45749095
181	22	788899.3	4797770.6	0.99953	0.03076	-0.03076	0.99953	1	43.27733528	-77.439672
182	22	790364.6	4797667	0.9996	0.02841	-0.02841	0.9996	1	43.2758411	-77.42170308
183	22	791830	4797563.3	0.99966	0.02604	-0.02604	0.99966	1	43.27434318	-77.40373404
184	22	793295.3	4797459.7	0.99972	0.02365	-0.02365	0.99972	1	43.2728434	-77.38576726
167	23	768721.4	4799379.4	0.99981	0.01951	-0.01951	0.99981	1	43.29926385	-77.68713105
168	23	770097.7	4799270.9	0.9999	0.01418	-0.01418	0.9999	1	43.29779609	-77.67024498
169	23	771496.3	4799164.2	0.99995	0.01045	-0.01045	0.99995	1	43.296334	-77.65308455
170	23	772917.2	4799059.3	0.99997	0.00826	-0.00826	0.99997	1	43.29487745	-77.63564978
171	23	774338.1	4798954.3	0.99998	0.00607	-0.00607	0.99998	1	43.29341738	-77.61821605
172	23	775759	4798849.4	0.99999	0.00389	-0.00389	0.99999	1	43.29195557	-77.60078327
173	23	777212.8	4798745.6	0.99993	0.01221	-0.01221	0.99993	1	43.2904889	-77.58294611
