OBJECTID,I_Value,J_Value,RASTERVALU
469,42,79,6.3882
470,42,80,6.14236
471,42,81,5.89077
472,42,82,5.75367
473,42,83,5.80382
474,42,84,6.00291
475,42,85,6.2678
476,42,86,6.55267
477,42,87,6.81029
478,42,88,7.04249
479,42,89,7.2547
480,42,90,7.45003
481,42,91,7.71684
482,42,92,7.83791
483,42,93,7.90702
484,42,94,7.87387
485,42,95,7.83811
486,42,96,7.81758
487,42,97,7.91257
488,42,98,8.0769
489,42,99,8.23745
490,42,100,8.35914
491,42,101,8.43375
492,43,67,7.14734
493,43,68,7.13025
494,43,69,7.11332
495,43,70,7.09669
496,43,71,7.07275
497,43,72,7.04527
498,43,73,7.009
499,43,74,6.97214
500,43,75,6.93373
501,43,76,6.83046
502,43,77,6.67622
503,43,78,6.49641
504,43,79,6.27805
505,43,80,6.00458
506,43,81,5.66824
507,43,82,5.54187
508,43,83,5.59969
509,43,84,5.84343
510,43,85,6.14628
511,43,86,6.43676
512,43,87,6.68613
513,43,88,6.92385
514,43,89,7.12425
515,43,90,7.30903
516,43,91,7.57108
517,43,92,7.68719
518,43,93,7.74812
519,43,94,7.70056
520,43,95,7.63131
521,43,96,7.59388
522,43,97,7.6981
523,43,98,7.88596
524,43,99,8.07499
525,43,100,8.22377
526,43,101,8.32314
527,43,102,8.3897
528,44,59,7.24188
529,44,60,7.23537
530,44,61,7.22799
531,44,62,7.21911
532,44,63,7.21231
533,44,64,7.20241
534,44,65,7.19543
535,44,66,7.18531
536,44,67,7.17093
537,44,68,7.14883
538,44,69,7.12754
539,44,70,7.10456
540,44,71,7.07025
541,44,72,7.02182
542,44,73,6.95303
543,44,74,6.85474
544,44,75,6.74363
545,44,76,6.62919
546,44,77,6.49861
547,44,78,6.37105
548,44,79,6.19628
549,44,80,5.93113
550,44,81,5.57427
551,44,82,5.39945
552,44,83,5.47514
553,44,84,5.74641
554,44,85,6.06973
555,44,86,6.36274
556,44,87,6.60425
557,44,88,6.80622
558,44,89,7.00308
559,44,90,7.20846
560,44,91,7.37536
561,44,92,7.56281
562,44,93,7.63449
563,44,94,7.62855
564,44,95,7.51832
565,44,96,7.47871
566,44,97,7.57886
567,44,98,7.76882
568,44,99,7.96576
569,44,100,8.12749
570,44,101,8.24019
571,44,102,8.3193
572,45,56,7.31639
573,45,57,7.30964
574,45,58,7.30223
575,45,59,7.29247
576,45,60,7.28461
577,45,61,7.2745
578,45,62,7.2662
579,45,63,7.25575
580,45,64,7.24698
581,45,65,7.23888
582,45,66,7.22695
583,45,67,7.2099
584,45,68,7.18319
585,45,69,7.15512
586,45,70,7.1274
587,45,71,7.08211
588,45,72,7.01608
589,45,73,6.90735
590,45,74,6.74889
591,45,75,6.56908
592,45,76,6.40802
593,45,77,6.30454
594,45,78,6.23994
595,45,79,6.13989
596,45,80,5.91983
597,45,81,5.60274
598,45,82,5.39687
599,45,83,5.45597
600,45,84,5.74076
601,45,85,6.05193
602,45,86,6.32469
603,45,87,6.5405
604,45,88,6.71536
605,45,89,6.91605
606,45,90,7.08302
607,45,91,7.24718
608,45,92,7.42043
609,45,93,7.56679
610,45,94,7.55548
611,45,95,7.48896
612,45,96,7.45356
613,45,97,7.54146
614,45,98,7.71572
615,45,99,7.90334
616,45,100,8.06251
617,45,101,8.42348
618,45,102,8.5506
619,45,103,8.64316
620,46,53,7.40901
621,46,54,7.39963
622,46,55,7.38991
623,46,56,7.38296
624,46,57,7.37288
625,46,58,7.36538
626,46,59,7.35798
627,46,60,7.34673
628,46,61,7.33835
629,46,62,7.32695
630,46,63,7.31794
631,46,64,7.3093
632,46,65,7.29632
633,46,66,7.28716
634,46,67,7.26814
635,46,68,7.23784
636,46,69,7.20532
637,46,70,7.17052
638,46,71,7.11496
639,46,72,7.03112
640,46,73,6.88595
641,46,74,6.66098
642,46,75,6.40046
643,46,76,6.17729
644,46,77,6.07765
645,46,78,6.08935
646,46,79,6.09795
647,46,80,5.95769
648,46,81,5.69227
649,46,82,5.51157
650,46,83,5.56266
651,46,84,5.76767
652,46,85,6.08677
653,46,86,6.3161
654,46,87,6.4888
655,46,88,6.62725
656,46,89,6.79427
657,46,90,6.94945
658,46,91,7.12451
659,46,92,7.31809
660,46,93,7.5
661,46,94,7.53305
662,46,95,7.50212
663,46,96,7.48581
664,46,97,7.5633
665,46,98,7.71497
666,46,99,7.88442
667,46,100,8.2368
668,46,101,8.39979
669,46,102,8.52673
670,46,103,8.62033
671,47,50,7.50782
672,47,51,7.49973
673,47,52,7.49453
674,47,53,7.48579
675,47,54,7.47668
676,47,55,7.47058
677,47,56,7.46064
678,47,57,7.45394
679,47,58,7.44335
680,47,59,7.43601
681,47,60,7.42831
